SOURCELONG:Gozzilioni Player's Handbook	SOURCESHORT:PHB	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2003-07																																																																																
Outsider (Native)	CATEGORY:Special Ability	TYPE:FavoredEnemyBonus	VISIBLE:DISPLAY		KEY:Favored Enemy Bonus ~ Outsider (Native)	PREABILITY:1,CATEGORY=Special Ability,Favored Enemy ~ Outsider (Native)								BONUS:VAR|FavoredEnemyBonusOutsiderNative|2					STACK:YES	MULT:YES	CHOOSE:NOCHOICE											SOURCEPAGE:PHB																																																			
Plant	CATEGORY:Special Ability	TYPE:FavoredEnemyBonus	VISIBLE:DISPLAY		KEY:Favored Enemy Bonus ~ Plant	PREABILITY:1,CATEGORY=Special Ability,Favored Enemy ~ Plant								BONUS:VAR|FavoredEnemyBonusPlant|2					STACK:YES	MULT:YES	CHOOSE:NOCHOICE											SOURCEPAGE:PHB																																																			
Undead	CATEGORY:Special Ability	TYPE:FavoredEnemyBonus	VISIBLE:DISPLAY		KEY:Favored Enemy Bonus ~ Undead	PREABILITY:1,CATEGORY=Special Ability,Favored Enemy ~ Undead								BONUS:VAR|FavoredEnemyBonusUndead|2					STACK:YES	MULT:YES	CHOOSE:NOCHOICE											SOURCEPAGE:PHB																																																			
Vermin	CATEGORY:Special Ability	TYPE:FavoredEnemyBonus	VISIBLE:DISPLAY		KEY:Favored Enemy Bonus ~ Vermin	PREABILITY:1,CATEGORY=Special Ability,Favored Enemy ~ Vermin								BONUS:VAR|FavoredEnemyBonusVermin|2					STACK:YES	MULT:YES	CHOOSE:NOCHOICE											SOURCEPAGE:PHB																																																			
																																																																																			
# Combat Styles																																																																																			
Two-Weapon Fighting Combat Style	CATEGORY:Special Ability	TYPE:ClassFeatures.RangerClassFeatures.SpecialQuality.RangerCombatStyle	VISIBLE:YES		KEY:Combat Style ~ Two-Weapon Fighting	PREMULT:1,[!PREABILITY:1,CATEGORY=Special Ability,TYPE=RangerCombatStyle],[PREABILITY:1,CATEGORY=Special Ability,Combat Style ~ Two-Weapon Fighting]	DEFINE:RangerCombatTreeTier|0	ABILITY:FEAT|VIRTUAL|Two-Weapon Fighting|PREMULT:2,[PREVARGTEQ:RangerCombatTreeTier,1],[!PREEQUIP:1,TYPE=Armor.Medium,TYPE=Armor.Heavy]	ABILITY:FEAT|VIRTUAL|Improved Two-Weapon Fighting|PREMULT:2,[PREVARGTEQ:RangerCombatTreeTier,2],[!PREEQUIP:1,TYPE=Armor.Medium,TYPE=Armor.Heavy]	ABILITY:FEAT|VIRTUAL|Greater Two-Weapon Fighting|PREMULT:2,[PREVARGTEQ:RangerCombatTreeTier,3],[!PREEQUIP:1,TYPE=Armor.Medium,TYPE=Armor.Heavy]																						SOURCEPAGE:PHB																																																			
Archery Combat Style	CATEGORY:Special Ability	TYPE:ClassFeatures.RangerClassFeatures.SpecialQuality.RangerCombatStyle	VISIBLE:YES		KEY:Combat Style ~ Archery	PREMULT:1,[!PREABILITY:1,CATEGORY=Special Ability,TYPE=RangerCombatStyle],[PREABILITY:1,CATEGORY=Special Ability,Combat Style ~ Archery]	DEFINE:RangerCombatTreeTier|0	ABILITY:FEAT|VIRTUAL|Rapid Shot|PREMULT:2,[PREVARGTEQ:RangerCombatTreeTier,1],[!PREEQUIP:1,TYPE=Armor.Medium,TYPE=Armor.Heavy]	ABILITY:FEAT|VIRTUAL|Manyshot|PREMULT:2,[PREVARGTEQ:RangerCombatTreeTier,2],[!PREEQUIP:1,TYPE=Armor.Medium,TYPE=Armor.Heavy]	ABILITY:FEAT|VIRTUAL|Improved Precise Shot|PREMULT:2,[PREVARGTEQ:RangerCombatTreeTier,3],[!PREEQUIP:1,TYPE=Armor.Medium,TYPE=Armor.Heavy]																						SOURCEPAGE:PHB																																																			
																																																																																			
# Rogue Special Abilities																																																																																			
Crippling Strike	CATEGORY:Special Ability	TYPE:RogueSpecialAbility.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:A rogue with this ability can sneak attack opponents with such precision that her blows weaken and hamper them. An opponent damaged by one of her sneak attacks also takes 2 points of Strength damage. Ability points lost to damage return on their own at the rate of 1 point per day for each damaged ability.	KEY:Rogue Special Ability ~ Crippling Strike																											SOURCEPAGE:PHB																																																			
Defensive Roll	CATEGORY:Special Ability	TYPE:RogueSpecialAbility.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:The rogue can roll with a potentially lethal blow to take less damage from it than she otherwise would. Once per day, when she would be reduced to 0 or fewer hit points by damage in combat (from a weapon or other blow, not a spell or special ability), the rogue can attempt to roll with the damage. To use this ability, the rogue must attempt a Reflex saving throw (DC = damage dealt). If the save succeeds, she takes only half damage from the blow if it fails, she takes full damage. She must be aware of the attack and able to react to it in order to execute her defensive roll-if she is denied her Dexterity bonus to AC, she can't use this ability. Since this effect would not normally allow a character to make a Reflex save for half damage, the rogue's evasion ability does not apply to the defensive roll.	KEY:Rogue Special Ability ~ Defensive Roll				DEFINE:DefensiveRollTimes|0					BONUS:VAR|DefensiveRollTimes|1																		SOURCEPAGE:PHB																																																			
Improved Evasion	CATEGORY:Special Ability	TYPE:RogueSpecialAbility.SpecialQuality.Extraordinary.Evasion	VISIBLE:YES	DESC:This ability works like evasion, except that while the rogue still takes no damage on a successful Reflex saving throw against attacks henceforth she henceforth takes only half damage on a failed save. A helpless rogue does not gain the benefit of improved evasion.	KEY:Rogue Special Ability ~ Improved Evasion																											SOURCEPAGE:PHB																																																			
Opportunist	CATEGORY:Special Ability	TYPE:RogueSpecialAbility.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:Once per round, the rogue can make an attack of opportunity against an opponent who has just been struck for damage in melee by another character. This attack counts as the rogue's attack of opportunity for that round. Even a rogue with the Combat Reflexes feat can't use the opportunist ability more than once per round.	KEY:Rogue Special Ability ~ Opportunist																											SOURCEPAGE:PHB																																																			
Skill Mastery	CATEGORY:Special Ability	TYPE:RogueSpecialAbility.SpecialQuality.SkillMastery	VISIBLE:YES	DESC:The rogue becomes so certain in the use of certain skills that she can use them reliably even under adverse conditions. Upon gaining this ability, she selects a number of skills equal to 3 + her Intelligence modifier. When making a skill check with one of these skills, she may take 10 even if stress and distractions would normally prevent her from doing so. A rogue may gain this special ability multiple times, selecting additional skills for it to apply to each time.	KEY:Rogue Special Ability ~ Skill Mastery														STACK:NO	MULT:YES	CHOOSE:SKILL|ALL	SELECT:3+INT										SOURCEPAGE:PHB																																																			
Slippery Mind	CATEGORY:Special Ability	TYPE:RogueSpecialAbility.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:This ability represents the rogue's ability to wriggle free from magical effects that would otherwise control or compel her. If a rogue with slippery mind is affected by an enchantment spell or effect and fails her saving throw, she can attempt it again 1 round later at the same DC. She gets only this one extra chance to succeed on her saving throw.	KEY:Rogue Special Ability ~ Slippery Mind																											SOURCEPAGE:PHB																																																			
Feat	CATEGORY:Special Ability	TYPE:RogueSpecialAbility.SpecialQuality	VISIBLE:YES	DESC:A rogue may gain a bonus feat in place of a special ability.	KEY:Rogue Special Ability ~ Feat									BONUS:ABILITYPOOL|Feat|1					STACK:YES	MULT:YES	CHOOSE:NOCHOICE											SOURCEPAGE:PHB																																																			
																																																																																			
###Block: Animal Companion																																																																																			
Link	CATEGORY:Special Ability	TYPE:ClassFeatures.AnimalCompanionClassFeatures.SpecialQuality.Extraordinary		DESC:A druid can handle her animal companion as a free action, or push it as a move action, even if she doesn't have any ranks in the Handle Animal skill. The druid gains a +4 circumstance bonus on all wild empathy checks and Handle Animal checks made regarding an animal companion.	KEY:Animal Companion ~ Link																											SOURCEPAGE:PHB																																																			
Share Spells	CATEGORY:Special Ability	TYPE:ClassFeatures.AnimalCompanionClassFeatures.SpecialQuality.Extraordinary		DESC:At the druid's option, she may have any spell (but not any spell-like ability) she casts upon herself also affect her animal companion. The animal companion must be within 5 feet of her at the time of casting to receive the benefit. If the spell or effect has a duration other than instantaneous, it stops affecting the animal companion if the companion moves farther than 5 feet away and will not affect the animal again, even if it returns to the druid before the duration expires.  Additionally, the druid may cast a spell with a target of "You" on her animal companion (as a touch range spell) instead of on herself. A druid and her animal companion can share spells even if the spells normally do not affect creatures of the companion's type (animal).	KEY:Animal Companion ~ Share Spells																											SOURCEPAGE:PHB																																																			
Evasion	CATEGORY:Special Ability	TYPE:ClassFeatures.AnimalCompanionClassFeatures.SpecialQuality.Extraordinary.Evasion		DESC:If an animal companion is subjected to an attack that normally allows a Reflex saving throw for half damage, it takes no damage if it makes a successful saving throw.	KEY:Animal Companion ~ Evasion																											SOURCEPAGE:PHB																																																			
Devotion	CATEGORY:Special Ability	TYPE:ClassFeatures.AnimalCompanionClassFeatures.SpecialQuality.Extraordinary.Evasion		DESC:An animal companion gains a +4 morale bonus on Will saves against enchantment spells and effects.	KEY:Animal Companion ~ Devotion																											SOURCEPAGE:PHB																																																			
Multiattack	CATEGORY:Special Ability	TYPE:ClassFeatures.AnimalCompanionClassFeatures.SpecialQuality.Extraordinary		DESC:An animal companion gains Multiattack as a bonus feat if it has three or more natural attacks and does not already have that feat. If it does not have the requisite three or more natural attacks, the animal companion instead gains a second attack with its primary natural weapon, albeit at a -5 penalty.	KEY:Animal Companion ~ Multiattack				DEFINE:CompanionSecondAttack|0					BONUS:VAR|CompanionSecondAttack|1|PREHANDSLTEQ:2									ABILITY:FEAT|AUTOMATIC|Multiattack|PREHANDSGTEQ:3									SOURCEPAGE:PHB																																																			
Improved Evasion	CATEGORY:Special Ability	TYPE:ClassFeatures.AnimalCompanionClassFeatures.SpecialQuality.Extraordinary.Evasion		DESC:When subjected to an attack that normally allows a Reflex saving throw for half damage, an animal companion takes no damage if it makes a successful saving throw and only half damage if the saving throw fails.	KEY:Animal Companion ~ Improved Evasion																											SOURCEPAGE:PHB																																																			
																																																																																			
###Block: Special Mount																																																																																			
Empathic Link	CATEGORY:Special Ability	TYPE:ClassFeatures.SpecialMountClassFeatures.SpecialQuality.Supernatural		DESC:The paladin has an empathic link with her mount out to a distance of up to 1 mile. The paladin cannot see through the mount's eyes, but they can communicate empathically. Note that even intelligent mounts see the world differently from humans, so misunderstandings are always possible. Because of this empathic link, the paladin has the same connection to an item or place that her mount does, just as with a master and his familiar (see Familiars).	KEY:Special Mount ~ Empathic Link																											SOURCEPAGE:PHB																																																			
Improved Evasion	CATEGORY:Special Ability	TYPE:ClassFeatures.SpecialMountClassFeatures.SpecialQuality.Extraordinary.Evasion		DESC:When subjected to an attack that normally allows a Reflex saving throw for half damage, a mount takes no damage if it makes a successful saving throw and half damage if the saving throw fails.	KEY:Special Mount ~ Improved Evasion																											SOURCEPAGE:PHB																																																			
Share Spells	CATEGORY:Special Ability	TYPE:ClassFeatures.SpecialMountClassFeatures.SpecialQuality		DESC:At the paladin's option, she may have any spell (but not any spell-like ability) she casts on herself also affect her mount.  The mount must be within 5 feet at the time of casting to receive the benefit. If the spell or effect has a duration other than instantaneous, it stops affecting the mount if it moves farther than 5 feet away and will not affect the mount again even if it returns to the paladin before the duration expires. Additionally, the paladin may cast a spell with a target of "You" on her mount (as a touch range spell) instead of on herself. A paladin and her mount can share spells even if the spells normally do not affect creatures of the mount's type (magical beast).	KEY:Special Mount ~ Share Spells																											SOURCEPAGE:PHB																																																			
Share Saving Throws	CATEGORY:Special Ability	TYPE:ClassFeatures.SpecialMountClassFeatures.SpecialQuality		DESC:For each of its saving throws, the mount uses its own base save bonus or the paladin's, whichever is higher. The mount applies its own ability modifiers to saves, and it doesn't share any other bonuses on saves that the master might have.	KEY:Special Mount ~ Share Saving Throws																											SOURCEPAGE:PHB																																																			
Improved Speed	CATEGORY:Special Ability	TYPE:ClassFeatures.SpecialMountClassFeatures.SpecialQuality.Extraordinary		DESC:The mount's speed increases by 10 feet.	KEY:Special Mount ~ Improved Speed									BONUS:MOVEADD|TYPE.Walk|10|PREMOVE:1,Walk=1	BONUS:MOVEADD|TYPE.Swim|10|PREMOVE:1,Swim=1	BONUS:MOVEADD|TYPE.Climb|10|PREMOVE:1,Climb=1	BONUS:MOVEADD|TYPE.Burrow|10|PREMOVE:1,Burrow=1	BONUS:MOVEADD|TYPE.Fly|10|PREMOVE:1,Fly=1														SOURCEPAGE:PHB																																																			
Command	CATEGORY:Special Ability	TYPE:ClassFeatures.SpecialMountClassFeatures.SpecialQuality.SpellLike		DESC:Once per day per two paladin levels of its master, a mount can use this ability to command other any normal animal of approximately the same kind as itself (for warhorses and warponies, this category includes donkeys, mules, and ponies), as long as the target creature has fewer Hit Dice than the mount. This ability functions like the command spell, but the mount must make a DC 21 Concentration check to succeed if it's being ridden at the time. If the check fails, the ability does not work that time, but it still counts against the mount's daily uses. Each target may attempt a Will save (DC 10 + 1/2 paladin's level + paladin's Cha modifier) to negate the effect.	KEY:Special Mount ~ Command																											SOURCEPAGE:PHB																																																			
Spell Resistance	CATEGORY:Special Ability	TYPE:ClassFeatures.SpecialMountClassFeatures.SpecialQuality.Extraordinary		DESC:A mount's spell resistance equals its master's paladin level + 5. To affect the mount with a spell, a spellcaster must get a result on a caster level check (1d20 + caster level) that equals or exceeds the mount's spell resistance.	KEY:Special Mount ~ Spell Resistance																											SOURCEPAGE:PHB																																																			
																																																																																			
###Block: Familiar																																																																																			
Alertness	CATEGORY:Special Ability	TYPE:ClassFeatures.FamiliarClassFeatures.SpecialQuality.Extraordinary		DESC:While a familiar is within arm's reach, the master gains the Alertness feat.	KEY:Familiar ~ Alertness																											SOURCEPAGE:PHB																																																			
Improved Evasion	CATEGORY:Special Ability	TYPE:ClassFeatures.FamiliarClassFeatures.SpecialQuality.Extraordinary		DESC:When subjected to an attack that normally allows a Reflex saving throw for half damage, a familiar takes no damage if it makes a successful saving throw and half damage even if the saving throw fails.	KEY:Familiar ~ Improved Evasion																											SOURCEPAGE:PHB																																																			
Share Spells	CATEGORY:Special Ability	TYPE:ClassFeatures.FamiliarClassFeatures.SpecialQuality		DESC:At the master's option, he may have any spell (but not any spell-like ability) he casts on himself also affect his familiar. The familiar must be within 5 feet at the time of casting to receive the benefit. If the spell or effect has a duration other than instantaneous, it stops affecting the familiar if it moves farther than 5 feet away and will not affect the familiar again even if it returns to the master before the duration expires. Additionally, the master may cast a spell with a target of "You" on his familiar (as a touch range spell) instead of on himself. A master and his familiar can share spells even if the spells normally do not affect creatures of the familiar's type (magical beast).	KEY:Familiar ~ Share Spells																											SOURCEPAGE:PHB																																																			
Empathic Link	CATEGORY:Special Ability	TYPE:ClassFeatures.FamiliarClassFeatures.SpecialQuality.Supernatural		DESC:The master has an empathic link with his familiar out to a distance of up to 1 mile. The master cannot see through the familiar's eyes, but they can communicate empathically. Because of the limited nature of the link, only general emotional content can be communicated. Because of this empathic link, the master has the same connection to an item or place that his familiar does.	KEY:Familiar ~ Empathic Link																											SOURCEPAGE:PHB																																																			
Deliver Touch Spells	CATEGORY:Special Ability	TYPE:ClassFeatures.FamiliarClassFeatures.SpecialQuality.Supernatural		DESC:If the master is 3rd level or higher, a familiar can deliver touch spells for him. If the master and the familiar are in contact at the time the master casts a touch spell, he can designate his familiar as the "toucher." The familiar can then deliver the touch spell just as the master could. As usual, if the master casts another spell before the touch is delivered, the touch spell dissipates.	KEY:Familiar ~ Deliver Touch Spells																											SOURCEPAGE:PHB																																																			
Speak with Master	CATEGORY:Special Ability	TYPE:ClassFeatures.FamiliarClassFeatures.SpecialQuality.Extraordinary		DESC:If the master is 5th level or higher, a familiar and the master can communicate verbally as if they were using a common language. Other creatures do not understand the communication without magical help.	KEY:Familiar ~ Speak with Master																											SOURCEPAGE:PHB																																																			
Speak with Animals of Its Kind	CATEGORY:Special Ability	TYPE:ClassFeatures.FamiliarClassFeatures.SpecialQuality.Extraordinary		DESC:If the master is 7th level or higher, a familiar can communicate with animals of approximately the same kind as itself (including dire varieties): bats with bats, rats with rodents, cats with felines, hawks and owls and ravens with birds, lizards and snakes with reptiles, toads with amphibians, weasels with similar creatures (weasels, minks, polecats, ermines, skunks, wolverines, and badgers). Such communication is limited by the intelligence of the conversing creatures.	KEY:Familiar ~ Speak with Animals of Its Kind																											SOURCEPAGE:PHB																																																			
Spell Resistance	CATEGORY:Special Ability	TYPE:ClassFeatures.FamiliarClassFeatures.SpecialQuality.Extraordinary		DESC:If the master is 11th level or higher, a familiar gains spell resistance equal to the master's level + 5. To affect the familiar with a spell, another spellcaster must get a result on a caster level check (1d20 + caster level) that equals or exceeds the familiar's spell resistance.	KEY:Familiar ~ Spell Resistance																											SOURCEPAGE:PHB																																																			
Scry on Familiar	CATEGORY:Special Ability	TYPE:ClassFeatures.FamiliarClassFeatures.SpecialQuality.SpellLike		DESC:If the master is 13th level or higher, he may scry on his familiar (as if casting the scrying spell) once per day.	KEY:Familiar ~ Scry on Familiar																											SOURCEPAGE:PHB																																																			
Speak One Language	CATEGORY:Special Ability	TYPE:SpecialQuality.Supernatural	VISIBLE:YES		KEY:Familiar ~ Speak One Language									BONUS:ABILITYPOOL|Raven Language Choice|1																		SOURCEPAGE:PHB																																																			
Raven Language Choice	CATEGORY:Internal	TYPE:RavenLanguage																	STACK:NO	MULT:YES	CHOOSE:LANG|TYPE=Spoken	SELECT:1	AUTO:LANG|%LIST									SOURCEPAGE:PHB																																																			
Alertness	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	VISIBLE:YES	DESC:While a familiar is within arm's reach, the master gains the Alertness feat.	KEY:Familiar Bonus ~ Alertness																		ABILITY:FEAT|VIRTUAL|Alertness|PREVAREQ:FamiliarGrantsAlertness,1									SOURCEPAGE:PHB																																																			
Familiar is within arm's reach	CATEGORY:Special Ability				KEY:Familiar Bonus ~ Within Reach				DEFINE:FamiliarGrantsAlertness|0					TEMPBONUS:ANYPC|VAR|FamiliarGrantsAlertness|1									ABILITY:Special Ability|AUTOMATIC|Familiar Bonus ~ Alertness									SOURCEPAGE:PHB																																																			
																																																																																			
###Block: Familiar Granted																																																																																			
Familiar ~ Bat	CATEGORY:Special Ability													BONUS:SKILL|Listen|3|TYPE=Familiar									ABILITY:Special Ability|AUTOMATIC|Familiar ~ Within Reach									SOURCEPAGE:PHB																																																			
Familiar ~ Cat	CATEGORY:Special Ability													BONUS:SKILL|Move Silently|3|TYPE=Familiar									ABILITY:Special Ability|AUTOMATIC|Familiar ~ Within Reach									SOURCEPAGE:PHB																																																			
Familiar ~ Hawk	CATEGORY:Special Ability													BONUS:SKILL|Spot|3|TYPE=Familiar									ABILITY:Special Ability|AUTOMATIC|Familiar ~ Within Reach									SOURCEPAGE:PHB																																																			
Familiar ~ Lizard	CATEGORY:Special Ability													BONUS:SKILL|Climb|3|TYPE=Familiar									ABILITY:Special Ability|AUTOMATIC|Familiar ~ Within Reach									SOURCEPAGE:PHB																																																			
Familiar ~ Owl	CATEGORY:Special Ability													BONUS:SKILL|Spot|3|TYPE=Familiar									ABILITY:Special Ability|AUTOMATIC|Familiar ~ Within Reach									SOURCEPAGE:PHB																																																			
Familiar ~ Rat	CATEGORY:Special Ability													BONUS:SAVE|Fortitude|2|TYPE=Familiar									ABILITY:Special Ability|AUTOMATIC|Familiar ~ Within Reach									SOURCEPAGE:PHB																																																			
Familiar ~ Raven	CATEGORY:Special Ability													BONUS:SKILL|Appraise|3|TYPE=Familiar									ABILITY:Special Ability|AUTOMATIC|Familiar ~ Within Reach									SOURCEPAGE:PHB																																																			
Familiar ~ Snake (Viper/Tiny)	CATEGORY:Special Ability													BONUS:SKILL|Bluff|3|TYPE=Familiar									ABILITY:Special Ability|AUTOMATIC|Familiar ~ Within Reach									SOURCEPAGE:PHB																																																			
Familiar ~ Toad	CATEGORY:Special Ability													BONUS:HP|CURRENTMAX|3|TYPE=Familiar									ABILITY:Special Ability|AUTOMATIC|Familiar ~ Within Reach									SOURCEPAGE:PHB																																																			
Familiar ~ Weasel	CATEGORY:Special Ability													BONUS:SAVE|Reflex|2|TYPE=Familiar									ABILITY:Special Ability|AUTOMATIC|Familiar ~ Within Reach									SOURCEPAGE:PHB																																																			
																																																																																			
###Block: Misc																																																																																			
Animal Tricks and Training	CATEGORY:Special Ability	TYPE:Internal												BONUS:ABILITYPOOL|Animal Trick|3	BONUS:ABILITYPOOL|Animal Trick|3|PRESTAT:1,INT=2	BONUS:ABILITYPOOL|Animal Trick|3|PRESTAT:1,INT=3	BONUS:ABILITYPOOL|Animal Trick|3|PRESTAT:1,INT=4															SOURCEPAGE:PHB																																																			
Bonus Tricks	CATEGORY:Special Ability	TYPE:SpecialQuality		DESC:%1|BonusTricks					DEFINE:BonusTricks|0					BONUS:ABILITYPOOL|Animal Trick|BonusTricks																		SOURCEPAGE:PHB																																																			
###Block: Tricks and Training																																																																																			
Attack	CATEGORY:Special Ability	TYPE:AnimalTrick.AnimalTrickAttack		DESC:The animal attacks apparent enemies.	KEY:Animal Trick ~ Attack	DESC:Animal will attack all creatures|PREABILITY:1,CATEGORY=Animal Trick,Animal Trick ~ Attack II		PREMULT:1,[PREABILITY:1,CATEGORY=Special Ability,Animal Trick ~ Attack],[!PREABILITY:1,CATEGORY=Special Ability,TYPE.AnimalTrickAttack]																								SOURCEPAGE:PHB																																																			
Attack II	CATEGORY:Special Ability	TYPE:AnimalTrick	VISIBLE:DISPLAY	DESC:Animal will attack all creatures (including such unnatural creatures as undead and aberrations).	KEY:Animal Trick ~ Attack II			PREABILITY:1,CATEGORY=Special Ability,Animal Trick ~ Attack																								SOURCEPAGE:PHB																																																			
Come	CATEGORY:Special Ability	TYPE:AnimalTrick.AnimalTrickCome		DESC:The animal comes to you, even if it normally would not do so.	KEY:Animal Trick ~ Come			PREMULT:1,[PREABILITY:1,CATEGORY=Special Ability,Animal Trick ~ Come],[!PREABILITY:1,CATEGORY=Special Ability,TYPE.AnimalTrickCome]																								SOURCEPAGE:PHB																																																			
Defend	CATEGORY:Special Ability	TYPE:AnimalTrick.AnimalTrickDefend		DESC:The animal defends you (or is ready to defend you if no threat is present), even without any command being given. Alternatively, you can command the animal to defend another specific character.	KEY:Animal Trick ~ Defend			PREMULT:1,[PREABILITY:1,CATEGORY=Special Ability,Animal Trick ~ Defend],[!PREABILITY:1,CATEGORY=Special Ability,TYPE.AnimalTrickDefend]																								SOURCEPAGE:PHB																																																			
Down	CATEGORY:Special Ability	TYPE:AnimalTrick.AnimalTrickDown		DESC:The animal breaks off from combat or otherwise backs down. An animal that doesn't know this trick continues to fight until it must f lee (due to injury, a fear effect, or the like) or its opponent is defeated.	KEY:Animal Trick ~ Down			PREMULT:1,[PREABILITY:1,CATEGORY=Special Ability,Animal Trick ~ Down],[!PREABILITY:1,CATEGORY=Special Ability,TYPE.AnimalTrickDown]																								SOURCEPAGE:PHB																																																			
Fetch	CATEGORY:Special Ability	TYPE:AnimalTrick.AnimalTrickFetch		DESC:The animal goes and gets something. If you do not point out a specific item, the animal fetches a random object.	KEY:Animal Trick ~ Fetch			PREMULT:1,[PREABILITY:1,CATEGORY=Special Ability,Animal Trick ~ Fetch],[!PREABILITY:1,CATEGORY=Special Ability,TYPE.AnimalTrickFetch]																								SOURCEPAGE:PHB																																																			
Guard	CATEGORY:Special Ability	TYPE:AnimalTrick.AnimalTrickGuard		DESC:The animal stays in place and prevents others from approaching.	KEY:Animal Trick ~ Guard			PREMULT:1,[PREABILITY:1,CATEGORY=Special Ability,Animal Trick ~ Guard],[!PREABILITY:1,CATEGORY=Special Ability,TYPE.AnimalTrickGuard]																								SOURCEPAGE:PHB																																																			
Heel	CATEGORY:Special Ability	TYPE:AnimalTrick.AnimalTrickHeel		DESC:The animal follows you closely, even to places where it normally wouldn't go.	KEY:Animal Trick ~ Heel			PREMULT:1,[PREABILITY:1,CATEGORY=Special Ability,Animal Trick ~ Heel],[!PREABILITY:1,CATEGORY=Special Ability,TYPE.AnimalTrickHeel]																								SOURCEPAGE:PHB																																																			
Perform	CATEGORY:Special Ability	TYPE:AnimalTrick.AnimalTrickPerform		DESC:The animal performs a variety of simple tricks, such as sitting up, rolling over, roaring or barking, and so on.	KEY:Animal Trick ~ Perform			PREMULT:1,[PREABILITY:1,CATEGORY=Special Ability,Animal Trick ~ Perform],[!PREABILITY:1,CATEGORY=Special Ability,TYPE.AnimalTrickPerform]																								SOURCEPAGE:PHB																																																			
Seek	CATEGORY:Special Ability	TYPE:AnimalTrick.AnimalTrickSeek		DESC:The animal moves into an area and looks around for anything that is obviously alive or animate.	KEY:Animal Trick ~ Seek			PREMULT:1,[PREABILITY:1,CATEGORY=Special Ability,Animal Trick ~ Seek],[!PREABILITY:1,CATEGORY=Special Ability,TYPE.AnimalTrickSeek]																								SOURCEPAGE:PHB																																																			
Stay	CATEGORY:Special Ability	TYPE:AnimalTrick.AnimalTrickStay		DESC:The animal stays in place, waiting for you to return. It does not challenge other creatures that come by, though it still defends itself if it needs to.	KEY:Animal Trick ~ Stay			PREMULT:1,[PREABILITY:1,CATEGORY=Special Ability,Animal Trick ~ Stay],[!PREABILITY:1,CATEGORY=Special Ability,TYPE.AnimalTrickStay]																								SOURCEPAGE:PHB																																																			
Track	CATEGORY:Special Ability	TYPE:AnimalTrick.AnimalTrickTrack		DESC:The animal tracks the scent presented to it. (This requires the animal to have the scent ability.)	KEY:Animal Trick ~ Track			PREMULT:1,[PREABILITY:1,CATEGORY=Special Ability,Animal Trick ~ Track],[!PREABILITY:1,CATEGORY=Special Ability,TYPE.AnimalTrickTrack]																								SOURCEPAGE:PHB																																																			
Work	CATEGORY:Special Ability	TYPE:AnimalTrick.AnimalTrickWork		DESC:The animal pulls or pushes a medium or heavy load.	KEY:Animal Trick ~ Work			PREMULT:1,[PREABILITY:1,CATEGORY=Special Ability,Animal Trick ~ Work],[!PREABILITY:1,CATEGORY=Special Ability,TYPE.AnimalTrickWork]																								SOURCEPAGE:PHB																																																			
Air Walk	CATEGORY:Special Ability	TYPE:AnimalTrick.AnimalTrickAirWalk		DESC:The animal is trained to move with the aid of the air walk spell.	KEY:Animal Trick ~ Air Walk			PREMULT:1,[PREABILITY:1,CATEGORY=Special Ability,Animal Trick ~ Air Walk],[!PREABILITY:1,CATEGORY=Special Ability,TYPE.AnimalTrickAirWalk]																								SOURCEPAGE:PHB																																																			
																																																																																			
Trained for Combat Riding	CATEGORY:Special Ability	TYPE:AnimalTrick.AnimalTraining.General.AnimalTrickAttack.AnimalTrickCome.AnimalTrickDefend.AnimalTrickDown.AnimalTrickGuard.AnimalTrickHeel		DESC:An animal trained to bear a rider into combat knows the tricks attack, come, defend, down, guard, and heel.	KEY:Animal Training ~ Combat Riding	!PREABILITY:1,CATEGORY=Special Ability,TYPE.AnimalTraining	PREMULT:1,[PREABILITY:1,CATEGORY=Special Ability,Animal Training ~ Combat Riding],[!PREABILITY:1,CATEGORY=Special Ability,TYPE.AnimalTrickAttack,TYPE.AnimalTrickCome,TYPE.AnimalTrickDefend,TYPE.AnimalTrickDown,TYPE.AnimalTrickGuard,TYPE.AnimalTrickHeel]	PRESTAT:1,INT=2															ABILITY:Special Ability|AUTOMATIC|Animal Trick ~ Attack|Animal Trick ~ Come|Animal Trick ~ Defend|Animal Trick ~ Down|Animal Trick ~ Guard|Animal Trick ~ Heel	COST:6								SOURCEPAGE:PHB																																																			
